Record ID,Employee ID,Employee Name,Team,Process,Date,Shift,Records Received,Records Processed,Records Pending,Errors,Rework,SLA Target,SLA Achieved,Processing Time,Working Hours,Quality Score,Attendance,Status,Productivity,Productivity %,Error Rate %,Accuracy %,Rework Rate %,SLA %,SLA Breach,Attendance %,Absenteeism %,Processing Ratio %,Opening Backlog,Closing Backlog,Backlog Status,Productivity Band,Quality Band,SLA Band
REC000001,EMP001,Employee 001,Team A,Document Verification,2026-07-01,General,116,82,34,3,1,95,79,4.07,8.0,96.56,Present,Partial,10.25,68.33,3.66,96.34,1.22,96.34,No,100,0,70.69,0,1266,Backlog Exists,Low,Good,Met
REC000002,EMP002,Employee 002,Team A,Document Verification,2026-07-01,General,118,84,34,2,1,95,74,4.38,8.0,97.88,Present,Partial,10.5,70.0,2.38,97.62,1.19,88.1,Yes,100,0,71.19,0,1266,Backlog Exists,Low,Good,Breached
REC000003,EMP003,Employee 003,Team A,Document Verification,2026-07-01,General,0,0,0,0,0,95,0,4.79,0.0,96.17,Absent,Pending,0.0,0.0,0.0,100.0,0.0,0.0,Yes,0,100,0.0,0,1266,Backlog Exists,Low,Good,Breached
REC000004,EMP004,Employee 004,Team A,Document Verification,2026-07-01,Night,87,61,26,3,1,95,54,4.48,8.0,95.76,Present,Partial,7.62,50.83,4.92,95.08,1.64,88.52,Yes,100,0,70.11,0,1266,Backlog Exists,Low,Good,Breached
REC000005,EMP005,Employee 005,Team A,Document Verification,2026-07-01,Night,143,101,42,2,3,95,98,6.57,8.0,97.73,Present,Partial,12.62,84.17,1.98,98.02,2.97,97.03,No,100,0,70.63,0,1266,Backlog Exists,Average,Good,Met
REC000006,EMP006,Employee 006,Team A,Document Verification,2026-07-01,Afternoon,142,101,41,3,3,95,86,5.78,8.0,97.08,Present,Partial,12.62,84.17,2.97,97.03,2.97,85.15,Yes,100,0,71.13,0,1266,Backlog Exists,Average,Good,Breached
REC000007,EMP007,Employee 007,Team A,Document Verification,2026-07-01,General,72,51,21,3,1,95,40,7.15,8.0,94.01,Present,Partial,6.38,42.5,5.88,94.12,1.96,78.43,Yes,100,0,70.83,0,1266,Backlog Exists,Low,Average,Breached
REC000008,EMP008,Employee 008,Team A,Document Verification,2026-07-01,General,109,77,32,4,0,95,74,4.59,8.0,94.74,Present,Partial,9.62,64.17,5.19,94.81,0.0,96.1,No,100,0,70.64,0,1266,Backlog Exists,Low,Average,Met
REC000009,EMP009,Employee 009,Team A,Document Verification,2026-07-01,General,82,58,24,5,2,95,50,6.65,8.0,91.62,Present,Partial,7.25,48.33,8.62,91.38,3.45,86.21,Yes,100,0,70.73,0,1266,Backlog Exists,Low,Average,Breached
REC000010,EMP010,Employee 010,Team A,Document Verification,2026-07-01,General,163,117,46,2,3,95,112,3.11,8.0,98.62,Present,Partial,14.62,97.5,1.71,98.29,2.56,95.73,No,100,0,71.78,0,1266,Backlog Exists,High,Excellent,Met
REC000011,EMP011,Employee 011,Team B,Data Entry,2026-07-01,General,175,105,70,7,2,95,94,4.47,8.0,93.09,Present,Partial,13.12,87.5,6.67,93.33,1.9,89.52,Yes,100,0,60.0,0,1266,Backlog Exists,Average,Average,Breached
REC000012,EMP012,Employee 012,Team B,Data Entry,2026-07-01,Afternoon,180,108,72,1,3,95,100,4.58,7.5,99.23,Late,Partial,14.4,96.0,0.93,99.07,2.78,92.59,Yes,100,0,60.0,0,1266,Backlog Exists,High,Excellent,At Risk
REC000013,EMP013,Employee 013,Team B,Data Entry,2026-07-01,Night,105,63,42,4,1,95,60,4.95,8.0,94.25,Present,Partial,7.88,52.5,6.35,93.65,1.59,95.24,No,100,0,60.0,0,1266,Backlog Exists,Low,Average,Met
REC000014,EMP014,Employee 014,Team B,Data Entry,2026-07-01,Morning,171,103,68,3,2,95,93,5.58,8.0,97.53,Present,Partial,12.88,85.83,2.91,97.09,1.94,90.29,Yes,100,0,60.23,0,1266,Backlog Exists,Average,Good,At Risk
REC000015,EMP015,Employee 015,Team B,Data Entry,2026-07-01,Night,114,69,45,5,2,95,54,6.07,8.0,92.68,Present,Partial,8.62,57.5,7.25,92.75,2.9,78.26,Yes,100,0,60.53,0,1266,Backlog Exists,Low,Average,Breached
